bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count,,
98,What to Expect the First Year (What to Expect),Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,761129588,9780761129585,eng,832,11489,658,,
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss-Libby Keatinge,3.82,972016414,9780972016414,eng,123,34,8,,
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.75,1581805632,9781581805635,en-US,128,75,4,,
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.83,441294677,9780441294671,eng,423,2692,168,,
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.90,441102670,9780441102679,eng,436,38651,552,,
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,441172695,9780441172696,eng,331,96649,2306,,
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.00,765306476,9780765306470,en-US,592,755,21,,
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.85,399128980,9780399128981,eng,480,261,18,,
110,The Road to Dune (Dune Universe),Frank Herbert-Brian Herbert-Kevin J. Anderson,3.87,765353709,9780765353702,eng,426,4561,76,,
112,Children of Dune (Dune Chronicles #3),Frank Herbert,3.92,441104029,9780441104024,eng,408,84276,1370,,
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.85,441328008,9780441328000,eng,471,45211,616,,
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,66687,4445,,
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell-Stephen R. Graves-Thomas G. Addington,4.28,785260056,9780785260059,en-US,256,16,1,,
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.31,471780936,9780471780939,eng,205,163,16,,
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.79,325001537,9780325001531,eng,240,10,0,,
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.49,006076287X,9780060762872,eng,336,73,9,,
133,eBay for Dummies,Marsha Collier,3.50,470045299,9780470045299,eng,386,102,9,,
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta-Lisa Suttora,3.62,72262788,9780072262780,eng,260,24,0,,
137,Starting an eBay Business for Dummies,Marsha Collier,3.52,764569244,9780764569241,eng,384,51,4,,
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,9780471933823,eng,260,9,0,,
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.55,764559915,9780764559914,en-US,391,19,1,,
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,9780764584381,en-US,864,17,3,,
141,Ruby Cookbook,Lucas Carlson-Leonard Richardson,3.82,596523696,9780596523695,eng,873,163,4,,
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.09,806523492,9780806523491,eng,240,47,5,,
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,9780806525365,eng,206,12,2,,
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.65,596527314,9780596527310,eng,514,49,1,,
151,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky,4.04,143035002,9780143035008,eng,838,15747,1795,,
159,Dinner with Anna Karenina,Gloria Goldreich,2.96,778322270,9780778322276,eng,368,400,64,,
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,9780521313254,eng,128,1191,32,,
163,The Untouchable,John Banville,3.96,679767479,9780679767473,eng,367,2077,209,,
164,The Untouchables,Eliot Ness-Oscar Fraley,3.89,1568491980,9781568491981,eng,256,587,29,,
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,9780743270793,en-US,320,299,39,,
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar-Y.N. Kly,4.33,932863051,9780932863058,eng,100,9,0,,
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon-Gail Omvedt-Eleanor Zelliot,3.58,742508803,9780742508804,eng,224,16,4,,
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.40,205358624,9780205358625,eng,216,10,0,,
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello-Patty Carratello-Theresa Wright,3.94,1557344035,9781557344038,eng,48,17,0,,
180,Wrinkles in Time,George Smoot-Keay Davidson,3.99,380720442,9780380720446,en-US,360,985,23,,
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.01,821925326,9780821925324,eng,250,37,7,,
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.57,043927169X,9780439271691,eng,32,14,0,,
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.01,606105263,9780606105262,spa,205,6,1,,
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.11,751506435,9780751506433,eng,367,366,16,,
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,352,2934,222,,
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor-Charley Boorman-Robert Uhlig,3.94,743499344,9780743499347,en-US,320,346,45,,
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.60,765313405,9780765313409,eng,331,9530,604,,
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford-James Lee Burke,3.91,1400032490,9781400032495,eng,244,770,72,,
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford-Lawrence Block,4.04,1400032482,9781400032488,eng,215,688,68,,
216,Miami Blues (Hoke Mosely #1),Charles Willeford-Elmore Leonard,3.94,1400032466,9781400032464,eng,191,2739,158,,
231,I am Charlotte Simmons,Tom Wolfe,3.41,312424442,9780312424442,eng,738,20508,1686,,
237,Poetry for Young People: Edward Lear,Edward Lear-Laura Huliska-Beith-Edward Mendelson,3.90,806930772,9780806930770,eng,48,64,18,,
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.04,140366601,9780140366600,eng,287,76,6,,
245,Henry Miller on Writing,Henry Miller-Thomas H. Moore,4.23,811201120,9780811201124,eng,217,937,50,,
247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9780802130167,eng,154,3237,134,,
249,Tropic of Cancer,Henry Miller-Jiří Níl,3.69,802131786,9780802131782,eng,318,50905,2290,,
250,Tropic of Capricorn,Henry Miller,3.82,802151825,9780802151827,eng,348,13549,448,,
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.09,802151787,9780802151780,eng,316,3181,53,,
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,4.04,802151809,9780802151803,eng,506,7024,248,,
253,The Air-Conditioned Nightmare,Henry Miller,3.83,811201066,9780811201063,eng,292,2627,142,,
264,The Portrait of a Lady,Henry James-Patricia Crick,3.77,141439637,9780141439631,eng,797,60027,1854,,
269,The Portrait of a Lady,Henry James-Gabriel Brownstein-Mary Cregan,3.77,1593080964,9781593080969,eng,635,386,40,,
275,The Lover,Marguerite Duras-Barbara Bray-Maxine Hong Kingston,3.75,375700528,9780375700521,eng,117,22014,1363,,
278,The War,Marguerite Duras-Barbara Bray-قلسم روبین,3.85,1565842219,9781565842212,eng,192,918,62,,
280,The Ravishing of Lol Stein,Marguerite Duras-Richard Seever,3.67,394743040,9780394743042,en-US,181,1939,122,,
281,Destroy  She Said,Marguerite Duras-Barbara Bray-Helen Lane Cumberford,3.68,080215154X,9780802151544,eng,133,532,41,,
283,L'Amant de la Chine du Nord,Marguerite Duras,3.89,2070388093,9782070388097,fre,246,312,23,,
285,Love Letters,Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari,3.67,1851681825,9781851681822,eng,178,201,9,,
288,Kahlil Gibran: His Life and World,Jean Gibran-جبران خليل جبران-Kahlil Gibran,4.20,156656249X,9781566562492,eng,464,33,2,,
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran-John Walbridge-Robin Waterfield,4.19,014019553X,9780140195538,eng,102,320,16,,
290,Jesus the Son of Man,Kahlil Gibran-جبران خليل جبران,3.98,394431243,9780394431246,eng,216,1272,78,,
291,The Broken Wings,Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris,3.92,806501901,9780806501901,eng,132,6175,492,,
292,Sand and Foam,Kahlil Gibran-جبران خليل جبران,4.08,067943920X,9780679439202,eng,100,2893,210,,
295,Treasure Island,Robert Louis Stevenson,3.83,753453800,9780753453803,eng,311,301399,6160,,
304,Daniel Deronda,George Eliot-Edmund White,3.83,037576013X,9780375760136,eng,796,19852,601,,
313,100 Years of Lynchings,Ralph Ginzburg,4.63,933121180,9780933121188,eng,270,81,4,,
320,One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,60531045,9780060531041,eng,417,547207,15763,,
324,Cien años de soledad,Gabriel García Márquez,4.06,785950109,9780785950103,spa,448,54,6,,
330,On Beyond Zebra!,Dr. Seuss,4.04,394800842,9780394800844,eng,64,2724,153,,
332,The Wedding Clause,Debbie Raleigh,3.58,821778250,9780821778258,eng,256,89,11,,
333,The Zebra Wall,Kevin Henkes,3.46,60733039,9780060733032,eng,147,206,23,,
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,9788432216060,spa,239,3956,242,,
338,Jitterbug Perfume,Tom Robbins,4.24,553348981,9780553348989,eng,352,4157,393,,
343,Perfume: The Story of a Murderer,Patrick Süskind-John E. Woods,4.02,140120831,9780140120837,eng,263,212561,7070,,
347,Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,Robert A. Heinlein,4.01,1582881847,9781582881843,eng,738,250,17,,
348,The Door Into Summer,Robert A. Heinlein,4.01,345413997,9780345413994,eng,304,16743,617,,
349,The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,312863551,9780312863555,eng,382,3667,416,,
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,9780441788385,eng,528,241727,5985,,
352,The Notebooks of Lazarus Long,Robert A. Heinlein-Stephen Hickman,4.07,074348844X,9780743488440,en-US,56,3192,23,,
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,9780441748600,en-US,434,10140,187,,
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,9780345316509,en-US,439,15580,422,,
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,9780765314932,eng,256,6723,188,,
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,9780671742515,en-US,307,65988,1353,,
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.92,345455290,9780345455291,eng,298,21562,722,,
360,Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5),Douglas Adams,3.97,345418778,9780345418777,en-US,240,72235,1269,,
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514,9780345476517,eng,368,2548,47,,
367,Douglas Adams's Starship Titanic,Terry Jones,3.60,345368436,9780345368430,eng,256,864,80,,
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams-Christopher Cerf,3.92,1417622857,9781417622856,eng,336,5,0,,
378,The Phantom Tollbooth,Norton Juster-Jules Feiffer,4.21,394820371,9780394820378,en-US,256,206193,8290,,
385,On Bullshit,Harry G. Frankfurt,3.57,691122946,9780691122946,eng,67,8773,937,,
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402,9780393329407,eng,347,9053,907,,
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.13,671867423,9780671867423,en-US,317,119,14,,
397,The Gettysburg Address,Abraham Lincoln-Michael McCurdy,4.53,395883970,9780395883976,eng,32,4967,69,,
399,Underworld,Don DeLillo,3.92,684848155,9780684848150,eng,827,1471,170,,
400,Libra,Don DeLillo,3.99,140156046,9780140156041,eng,480,11361,533,,
402,Mao II,Don DeLillo,3.68,140152741,9780140152746,eng,254,8085,411,,
403,Americana,Don DeLillo,3.43,140119485,9780140119480,eng,377,367,54,,
404,Running Dog,Don DeLillo,3.42,679722947,9780679722946,eng,256,1285,70,,
406,Cosmopolis,Don DeLillo,3.22,743244257,9780743244251,eng,224,449,40,,
407,Great Jones Street,Don DeLillo,3.48,140179178,9780140179170,eng,272,2385,137,,
408,The Names,Don DeLillo,3.64,679722955,9780679722953,eng,339,2990,201,,
409,Against the Day,Thomas Pynchon,4.12,159420120X,9781594201202,eng,1085,5110,577,,
410,V.,Thomas Pynchon,3.96,60930217,9780060930219,eng,547,1364,176,,
411,The Crying of Lot 49,Thomas Pynchon,3.70,60931671,9780060931674,eng,152,2132,229,,
412,Gravity's Rainbow,Thomas Pynchon,4.02,140283382,9780140283389,eng,784,752,211,,
413,Mason & Dixon,Thomas Pynchon,4.06,312423209,9780312423209,eng,773,7756,570,,
414,Vineland,Thomas Pynchon,3.68,141180633,9780141180632,en-US,385,668,64,,
415,Gravity's Rainbow,Thomas Pynchon,4.02,143039946,9780143039945,eng,776,28034,2058,,
416,Slow Learner: Early Stories,Thomas Pynchon,3.50,316724432,9780316724432,eng,193,322,32,,
418,Been Down So Long It Looks Like Up To Me,Richard Fariña-Thomas Pynchon,3.81,140189300,9780140189308,eng,352,2356,215,,
420,The Year of Magical Thinking,Joan Didion,3.88,140004314X,9781400043149,en-US,227,2507,328,,
421,The White Album,Joan Didion,4.17,374522219,9780374522216,eng,222,10584,651,,
422,A Book of Common Prayer,Joan Didion,3.80,679754865,9780679754862,eng,272,2790,238,,
423,Where I Was From,Joan Didion,3.86,679752862,9780679752868,eng,240,2665,282,,
425,Democracy,Joan Didion,3.81,679754857,9780679754855,en-US,234,1963,165,,
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion-John Leonard,4.49,307264874,9780307264879,eng,1122,1486,107,,
428,Play It as It Lays,Joan Didion-David Thomson,3.87,374529949,9780374529949,eng,231,21868,1577,,
431,The New York Trilogy,Paul Auster-Art Spiegelman-Luc Sante,3.90,143039830,9780143039839,eng,308,40276,1794,,
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,140097317,9780140097313,eng,203,11696,696,,
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.65,014009735X,9780140097351,eng,96,3443,185,,
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,940650762,9780940650763,eng,179,2818,153,,
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon-Preston B. Nichols-Nina Helms,3.91,963188925,9780963188922,eng,256,70,2,,
446,The Brooklyn Follies,Paul Auster,3.83,312426232,9780312426231,eng,306,17317,1138,,
447,Moon Palace,Paul Auster,3.98,140115854,9780140115857,eng,320,14594,475,,
449,Timbuktu,Paul Auster,3.68,312263996,9780312263997,eng,181,9200,599,,
450,Neon Lit: Paul Auster's City of Glass,Paul Karasik-David Mazzucchelli-Paul Auster-Bob Callahan,3.92,038077108X,9780380771080,eng,129,120,18,,
453,The Music of Chance,Paul Auster,3.90,140154078,9780140154078,en-US,217,354,35,,
454,Travels in the Scriptorium,Paul Auster,3.23,805081453,9780805081459,eng,145,6492,558,,
456,Leviathan,Paul Auster,3.95,140178139,9780140178135,eng,275,11238,420,,
463,The Red Notebook: True Stories,Paul Auster,3.77,811214982,9780811214988,eng,104,2306,114,,
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.40,2742741461,9782742741465,fre,1075,20,1,,
472,Why Write?,Paul Auster,3.77,1886224145,9781886224148,eng,58,126,13,,
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,143036556,9780143036555,eng,608,49219,2672,,
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb-Glen C. Strathy,3.39,446579785,9780446579780,en-US,211,207,26,,
477,Collapse of Complex Societies,Joseph A. Tainter,4.13,052138673X,9780521386739,eng,262,676,87,,
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.79,743203046,9780743203043,eng,544,4418,479,,
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.92,034543871X,9780345438713,eng,272,58,4,,
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco,4.39,393318281,9780393318289,eng,576,269,19,,
493,My Inventions,Nikola Tesla,4.01,1599869942,9781599869940,eng,88,2506,224,,
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer-William H. Terbo,3.77,806519606,9780806519609,eng,542,2613,313,,
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.95,822549204,9780822549208,eng,144,102,5,,
498,Tesla Papers,Nikola Tesla-David Hatcher Childress,4.12,932813860,9780932813862,eng,100,100,2,,
505,The Invention of Tradition,Eric Hobsbawm-Terence O. Ranger-Hugh Trevor-Roper-Prys Morgan-David Cannadine-Bernard S. Cohn,3.96,521437733,9780521437738,eng,320,765,41,,
511,Boys of Summer,Julie Elizabeth Leto-Leslie Kelly-Kimberly Raye,3.77,373792689,9780373792689,eng,256,474,12,,
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas-Chad Fowler-Andy Hunt,4.04,974514055,9780974514055,en-US,828,1525,52,,
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly-CliffsNotes-William Golding,3.92,764585975,9780764585975,eng,112,66,7,,
524,Lord of the Flies,William Golding,3.67,307281701,9780307281708,eng,6,369,86,,
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,812969707,9780812969702,eng,397,1601,92,,
534,We Were Not Like Other People,Ephraim Sevela-Antonina W. Bouis,4.15,60255080,9780060255084,eng,216,1,0,,
538,The Lovely Bones,Alice Sebold,3.79,159413023X,9781594130236,en-US,532,366,75,,
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.81,345360354,9780345360359,eng,224,1346,40,,
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea-Molly E. Holzschlag,4.00,321303474,785342303476,en-US,296,767,28,,
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.80,321430840,9780321430847,en-US,456,540,43,,
576,1000 Record Covers,Michael Ochs-Patrick Javault-Ulrike Wasel,3.84,3822840858,9783822840856,mul,575,274,28,,
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.83,743264460,9780743264464,eng,245,25004,1104,,
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.74,743236017,9780743236010,eng,272,59646,3341,,
604,Reefer Madness: Sex  Drugs  and Cheap Labor in the American Black Market,Eric Schlosser,3.77,965762645,9780965762649,eng,310,125,10,,
619,Vice (V  #8),Jane Feather,3.51,553572490,9780553572490,eng,419,462,17,,
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,60589469,9780060589462,eng,540,157734,6101,,
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley-Carol Heyer-Scott Goto,4.08,802789471,9780802789471,en-US,32,1730,267,,
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto-Thomas J. Steele,3.72,688060692,9780688060695,en-GB,408,271,10,,
643,Motorcycle Basics Techbook,John Harold Haynes,3.83,185960515X,9781859605158,eng,222,36,2,,
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel-Bill Gardner,3.96,1592530877,9781592530878,eng,191,27,0,,
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy-Hugh McLean,4.10,451528808,9780451528803,eng,304,7123,257,,
656,War and Peace,Leo Tolstoy-Henry Gifford-Aylmer Maude-Louise Maude,4.11,192833987,9780192833983,eng,1392,201919,5903,,
658,The Kingdom of God Is Within You,Leo Tolstoy-Constance Garnett,4.13,486451380,9780486451381,eng,352,2256,191,,
661,Hunters Of Dune (Dune Chronicles  #7),Brian Herbert-Kevin J. Anderson,3.65,340837489,9780340837481,en-GB,528,65,5,,
662,Atlas Shrugged,Ayn Rand-Leonard Peikoff,3.68,452011876,9780452011878,eng,1168,311883,14267,,
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,451163087,9780451163080,eng,224,2674,105,,
664,The Fountainhead,Ayn Rand,3.86,452286751,9780452286757,en-US,752,1860,228,,
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand-Nathaniel Branden,3.50,451163931,9780451163936,eng,176,11122,438,,
667,Anthem,Ayn Rand,3.63,452281253,9780452281257,eng,105,106642,6951,,
668,We the Living,Ayn Rand-Leonard Peikoff,3.91,451187849,9780451187840,eng,464,22587,1065,,
669,Capitalism: The Unknown Ideal,Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen,3.87,451147952,9780451147950,eng,340,3426,153,,
670,Letters of Ayn Rand,Ayn Rand-Michael S. Berliner-Leonard Peikoff,3.97,452274044,9780452274044,eng,681,18,2,,
672,Sailing for Dummies,J.J. Isler-Peter Isler,3.94,471791431,9780471791430,eng,416,135,6,,
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.87,553803816,9780553803815,eng,368,602,78,,
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,375755195,9780375755194,eng,192,11894,608,,
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.63,1592283195,9781592283194,eng,286,47,5,,
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.08,975599518,9780975599518,en-US,571,1575,283,,
685,The Natural,Bernard Malamud-Kevin Baker,3.63,374502005,9780374502003,eng,231,8568,639,,
698,Digging to America,Anne Tyler,3.55,307263940,9780307263940,eng,277,16703,1811,,
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo-Bonnie Lisle,3.77,312405545,9780312405540,eng,826,44,3,,
702,Modern Latin America,Thomas E. Skidmore-Peter H. Smith,3.59,019517013X,9780195170139,en-US,528,221,10,,
