,bookID,title,authors,average_rating,isbn13,num_pages,ratings_count,Genre
73,107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.0,9780765306470,592,755,Biography & Autobiography
74,109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.85,9780399128981,480,261,Fiction
75,110,The Road to Dune (Dune Universe),Frank Herbert-Brian Herbert-Kevin J. Anderson,3.87,9780765353702,426,4561,Fiction
76,112,Children of Dune (Dune Chronicles #3),Frank Herbert,3.92,9780441104024,408,84276,Others
77,117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.85,9780441328000,471,45211,Fiction
78,122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,9780345410054,544,66687,Fiction
79,123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,9780385732543,291,44,Apartheid
80,129,The Power of One: One Person  One Rule  One Month,John C. Maxwell-Stephen R. Graves-Thomas G. Addington,4.28,9780785260059,256,16,Business & Economics
81,130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.31,9780471780939,205,163,Business & Economics
82,131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.79,9780325001531,240,10,Performing Arts
83,132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.49,9780060762872,336,73,Others
84,133,eBay for Dummies,Marsha Collier,3.5,9780470045299,386,102,Business & Economics
85,135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta-Lisa Suttora,3.62,9780072262780,260,24,Others
86,137,Starting an eBay Business for Dummies,Marsha Collier,3.52,9780764569241,384,51,Others
87,138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,9780471933823,260,9,Others
88,139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.55,9780764559914,391,19,Others
89,140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,9780764584381,864,17,Others
90,141,Ruby Cookbook,Lucas Carlson-Leonard Richardson,3.82,9780596523695,873,163,Computers
91,142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.09,9780806523491,240,47,Cooking
92,144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,9780806525365,206,12,Humor
93,147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.65,9780596527310,514,49,Others
94,151,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky,4.04,9780143035008,838,15747,Adultery
95,152,Anna Karenina,Leo Tolstoy-David Magarshack-Priscilla Meyer,4.04,9780451528612,960,108970,Fiction
96,153,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley,4.04,9780140449174,837,2835,Fiction
97,154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman-Leo Tolstoy,3.89,9780822001836,80,15,Literary Criticism
98,155,Anna Karenina,Leo Tolstoy-Amy Mandelker-Constance Garnett,4.04,9781593080273,803,9362,Fiction
99,156,Anna Karenina,Leo Tolstoy-Louise Maude-Aylmer Maude,4.04,9780486437965,752,460,Fiction
100,157,Anna Karenina,Leo Tolstoy-Constance Garnett-Amy Mandelker,4.04,9781593081775,803,298,Others
101,159,Dinner with Anna Karenina,Gloria Goldreich,2.96,9780778322276,368,400,Fiction
102,160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,9780521313254,128,1191,Literary Criticism
103,162,Untouchable,Mulk Raj Anand-E.M. Forster,3.7,9780140183955,160,3168,Fiction
104,163,The Untouchable,John Banville,3.96,9780679767473,367,2077,Fiction
105,164,The Untouchables,Eliot Ness-Oscar Fraley,3.89,9781568491981,256,587,Biography & Autobiography
106,165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,9780743270793,320,299,Biography & Autobiography
107,166,Dalit: The Black Untaouchables of India,V.T. Rajshekar-Y.N. Kly,4.33,9780932863058,100,9,Others
108,168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon-Gail Omvedt-Eleanor Zelliot,3.58,9780742508804,224,16,Biography & Autobiography
109,171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,9780205358625,216,10,Political Science
110,177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello-Patty Carratello-Theresa Wright,3.94,9781557344038,48,17,Education
111,180,Wrinkles in Time,George Smoot-Keay Davidson,3.99,9780380720446,360,985,Science
112,181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.01,9780821925324,250,37,Science fiction.
113,182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.57,9780439271691,32,14,Education
114,201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.01,9780606105262,205,6,Others
115,204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.11,9780751506433,367,366,Others
116,205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,9780060786717,352,2934,Others
117,207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor-Charley Boorman-Robert Uhlig,3.94,9780743499347,320,346,Biography & Autobiography
118,208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,9780765313409,331,9530,Fiction
119,213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford-James Lee Burke,3.91,9781400032495,244,770,Others
120,214,Sideswipe: A Hoke Moseley Novel,Charles Willeford-Lawrence Block,4.04,9781400032488,215,688,Fiction
121,216,Miami Blues (Hoke Mosely #1),Charles Willeford-Elmore Leonard,3.94,9781400032464,191,2739,Others
122,231,I am Charlotte Simmons,Tom Wolfe,3.41,9780312424442,738,20508,Fiction
123,237,Poetry for Young People: Edward Lear,Edward Lear-Laura Huliska-Beith-Edward Mendelson,3.9,9780806930770,48,64,Juvenile Nonfiction
124,244,The Puffin Book of Nonsense Verse,Quentin Blake,4.04,9780140366600,287,76,Juvenile Nonfiction
125,245,Henry Miller on Writing,Henry Miller-Thomas H. Moore,4.23,9780811201124,217,937,Literary Criticism
126,247,Quiet Days in Clichy,Henry Miller,3.69,9780802130167,154,3237,Fiction
127,249,Tropic of Cancer,Henry Miller-Jiří Níl,3.69,9780802131782,318,50905,Fiction
128,250,Tropic of Capricorn,Henry Miller,3.82,9780802151827,348,13549,Fiction
129,251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.09,9780802151780,316,3181,Others
130,252,Sexus (The Rosy Crucifixion  #1),Henry Miller,4.04,9780802151803,506,7024,Fiction
131,253,The Air-Conditioned Nightmare,Henry Miller,3.83,9780811201063,292,2627,Fiction
132,264,The Portrait of a Lady,Henry James-Patricia Crick,3.77,9780141439631,797,60027,Fiction
133,269,The Portrait of a Lady,Henry James-Gabriel Brownstein-Mary Cregan,3.77,9781593080969,635,386,Fiction
134,275,The Lover,Marguerite Duras-Barbara Bray-Maxine Hong Kingston,3.75,9780375700521,117,22014,Fiction
135,278,The War,Marguerite Duras-Barbara Bray-قلسم روبین,3.85,9781565842212,192,918,Biography & Autobiography
136,280,The Ravishing of Lol Stein,Marguerite Duras-Richard Seever,3.67,9780394743042,181,1939,Fiction
137,281,Destroy  She Said,Marguerite Duras-Barbara Bray-Helen Lane Cumberford,3.68,9780802151544,133,532,Fiction
138,283,L'Amant de la Chine du Nord,Marguerite Duras,3.89,9782070388097,246,312,Others
139,285,Love Letters,Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari,3.67,9781851681822,178,201,Biography & Autobiography
140,288,Kahlil Gibran: His Life and World,Jean Gibran-جبران خليل جبران-Kahlil Gibran,4.2,9781566562492,464,33,Biography & Autobiography
141,289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran-John Walbridge-Robin Waterfield,4.19,9780140195538,102,320,Fiction
142,290,Jesus the Son of Man,Kahlil Gibran-جبران خليل جبران,3.98,9780394431246,216,1272,Bible
143,291,The Broken Wings,Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris,3.92,9780806501901,132,6175,Others
144,292,Sand and Foam,Kahlil Gibran-جبران خليل جبران,4.08,9780679439202,100,2893,Philosophy
145,295,Treasure Island,Robert Louis Stevenson,3.83,9780753453803,311,301399,Fiction
146,296,Treasure Island,Robert Louis Stevenson-Scott McKowen,3.83,9781402714573,213,393,Juvenile Fiction
147,297,Treasure Island,Robert Louis Stevenson,3.83,9781416500292,245,5900,Others
148,298,Treasure Island,Robert Louis Stevenson-N.C. Wyeth-Timothy Meis,3.83,9780689854682,64,103,Juvenile Fiction
149,299,Treasure Island,Robert Louis Stevenson-Milo Winter,3.83,9780517221143,272,56,Others
150,302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson,4.04,9781577658054,232,85,Others
151,304,Daniel Deronda,George Eliot-Edmund White,3.83,9780375760136,796,19852,Fiction
152,313,100 Years of Lynchings,Ralph Ginzburg,4.63,9780933121188,270,81,Social Science
153,320,One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,9780060531041,417,547207,Fiction
154,324,Cien años de soledad,Gabriel García Márquez,4.06,9780785950103,448,54,Others
155,325,Cien años de soledad,Gabriel García Márquez,4.06,9788423919000,456,73,Literary Criticism
156,330,On Beyond Zebra!,Dr. Seuss,4.04,9780394800844,64,2724,Juvenile Fiction
157,332,The Wedding Clause,Debbie Raleigh,3.58,9780821778258,256,89,Fiction
158,333,The Zebra Wall,Kevin Henkes,3.46,9780060733032,147,206,Juvenile Fiction
159,337,El perfume: Historia de un asesino,Patrick Süskind,4.02,9788432216060,239,3956,Fiction
160,338,Jitterbug Perfume,Tom Robbins,4.24,9780553348989,352,4157,Fiction
161,343,Perfume: The Story of a Murderer,Patrick Süskind-John E. Woods,4.02,9780140120837,263,212561,Adventure thriller
162,347,Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,Robert A. Heinlein,4.01,9781582881843,738,250,Science fiction
163,348,The Door Into Summer,Robert A. Heinlein,4.01,9780345413994,304,16743,Fiction
164,349,The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,9780312863555,382,3667,Fiction
165,350,Stranger in a Strange Land,Robert A. Heinlein,3.92,9780441788385,528,241727,Others
166,352,The Notebooks of Lazarus Long,Robert A. Heinlein-Stephen Hickman,4.07,9780743488440,56,3192,Fiction
167,354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,9780441748600,434,10140,Fiction
168,355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,9780345316509,439,15580,Fiction
169,356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,9780765314932,256,6723,Others
170,357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,9780671742515,307,65988,Fiction
171,359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.92,9780345455291,298,21562,Others
172,360,Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5),Douglas Adams,3.97,9780345418777,240,72235,Fiction
173,362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,9780345476517,368,2548,Biography & Autobiography
174,367,Douglas Adams's Starship Titanic,Terry Jones,3.6,9780345368430,256,864,Fiction
175,377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams-Christopher Cerf,3.92,9781417622856,336,5,Others
176,378,The Phantom Tollbooth,Norton Juster-Jules Feiffer,4.21,9780394820378,256,206193,Juvenile Fiction
177,382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus-Norton Juster,4.1,9780573650963,72,94,Drama
178,385,On Bullshit,Harry G. Frankfurt,3.57,9780691122946,67,8773,Philosophy
179,386,Another Bullshit Night in Suck City,Nick Flynn,3.78,9780393329407,347,9053,Biography & Autobiography
180,394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.13,9780671867423,317,119,History
181,397,The Gettysburg Address,Abraham Lincoln-Michael McCurdy,4.53,9780395883976,32,4967,Juvenile Nonfiction
182,399,Underworld,Don DeLillo,3.92,9780684848150,827,1471,Fiction
183,400,Libra,Don DeLillo,3.99,9780140156041,480,11361,Fiction
184,402,Mao II,Don DeLillo,3.68,9780140152746,254,8085,Fiction
185,403,Americana,Don DeLillo,3.43,9780140119480,377,367,Fiction
186,404,Running Dog,Don DeLillo,3.42,9780679722946,256,1285,Fiction
187,406,Cosmopolis,Don DeLillo,3.22,9780743244251,224,449,Fiction
188,407,Great Jones Street,Don DeLillo,3.48,9780140179170,272,2385,Fiction
189,408,The Names,Don DeLillo,3.64,9780679722953,339,2990,Fiction
190,409,Against the Day,Thomas Pynchon,4.12,9781594201202,1085,5110,Fiction
191,410,V.,Thomas Pynchon,3.96,9780060930219,547,1364,Fiction
192,411,The Crying of Lot 49,Thomas Pynchon,3.7,9780060931674,152,2132,Fiction
193,412,Gravity's Rainbow,Thomas Pynchon,4.02,9780140283389,784,752,Fiction
194,413,Mason & Dixon,Thomas Pynchon,4.06,9780312423209,773,7756,Fiction
195,414,Vineland,Thomas Pynchon,3.68,9780141180632,385,668,Fiction
196,415,Gravity's Rainbow,Thomas Pynchon,4.02,9780143039945,776,28034,Fiction
197,416,Slow Learner: Early Stories,Thomas Pynchon,3.5,9780316724432,193,322,Fiction
198,418,Been Down So Long It Looks Like Up To Me,Richard Fariña-Thomas Pynchon,3.81,9780140189308,352,2356,Fiction
199,420,The Year of Magical Thinking,Joan Didion,3.88,9781400043149,227,2507,Biography & Autobiography
200,421,The White Album,Joan Didion,4.17,9780374522216,222,10584,Literary Collections
201,422,A Book of Common Prayer,Joan Didion,3.8,9780679754862,272,2790,Fiction
202,423,Where I Was From,Joan Didion,3.86,9780679752868,240,2665,Others
203,425,Democracy,Joan Didion,3.81,9780679754855,234,1963,Fiction
204,426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion-John Leonard,4.49,9780307264879,1122,1486,Literary Collections
205,428,Play It as It Lays,Joan Didion-David Thomson,3.87,9780374529949,231,21868,Fiction
206,431,The New York Trilogy,Paul Auster-Art Spiegelman-Luc Sante,3.9,9780143039839,308,40276,Fiction
207,432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,9780140097313,203,11696,Fiction
208,434,Ghosts (The New York Trilogy  #2),Paul Auster,3.65,9780140097351,96,3443,Fiction
209,435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,9780940650763,179,2818,Fiction
210,444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon-Preston B. Nichols-Nina Helms,3.91,9780963188922,256,70,Fiction
211,446,The Brooklyn Follies,Paul Auster,3.83,9780312426231,306,17317,Fiction
212,447,Moon Palace,Paul Auster,3.98,9780140115857,320,14594,Fiction
213,449,Timbuktu,Paul Auster,3.68,9780312263997,181,9200,Fiction
214,450,Neon Lit: Paul Auster's City of Glass,Paul Karasik-David Mazzucchelli-Paul Auster-Bob Callahan,3.92,9780380771080,129,120,Fiction
215,453,The Music of Chance,Paul Auster,3.9,9780140154078,217,354,Fiction
216,454,Travels in the Scriptorium,Paul Auster,3.23,9780805081459,145,6492,Fiction
217,456,Leviathan,Paul Auster,3.95,9780140178135,275,11238,Fiction
218,463,The Red Notebook: True Stories,Paul Auster,3.77,9780811214988,104,2306,Fiction
219,466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.4,9782742741465,1075,20,Others
220,472,Why Write?,Paul Auster,3.77,9781886224148,58,126,Fiction
221,475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,9780143036555,608,49219,History
222,476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb-Glen C. Strathy,3.39,9780446579780,211,207,Business & Economics
223,477,Collapse of Complex Societies,Joseph A. Tainter,4.13,9780521386739,262,676,Social Science
224,478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.79,9780743203043,544,4418,History
225,481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.92,9780345438713,272,58,Political Science
226,484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco,4.39,9780393318289,576,269,Fiction
227,493,My Inventions,Nikola Tesla,4.01,9781599869940,88,2506,Others
228,494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer-William H. Terbo,3.77,9780806519609,542,2613,Biography & Autobiography
229,497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.95,9780822549208,144,102,Technology & Engineering
230,498,Tesla Papers,Nikola Tesla-David Hatcher Childress,4.12,9780932813862,100,100,Science
231,505,The Invention of Tradition,Eric Hobsbawm-Terence O. Ranger-Hugh Trevor-Roper-Prys Morgan-David Cannadine-Bernard S. Cohn,3.96,9780521437738,320,765,History
232,511,Boys of Summer,Julie Elizabeth Leto-Leslie Kelly-Kimberly Raye,3.77,9780373792689,256,474,Fiction
233,515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas-Chad Fowler-Andy Hunt,4.04,9780974514055,828,1525,Computers
234,523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly-CliffsNotes-William Golding,3.92,9780764585975,112,66,Literary Criticism
235,524,Lord of the Flies,William Golding,3.67,9780307281708,6,369,Others
236,525,Lord of the Flies,William Golding-Ben Gibson-E.M. Forster-Edmund L. Epstein,3.67,9780399529207,336,1122,Fiction
237,531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,9780812969702,397,1601,History
238,534,We Were Not Like Other People,Ephraim Sevela-Antonina W. Bouis,4.15,9780060255084,216,1,Others
239,537,The Lovely Bones,Alice Sebold,3.79,9780330485388,328,6315,Others
240,538,The Lovely Bones,Alice Sebold,3.79,9781594130236,532,366,Others
241,539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.81,9780345360359,224,1346,Fiction
242,565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea-Molly E. Holzschlag,4.0,785342303476,296,767,Others
243,570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,9780321430847,456,540,Computers
244,576,1000 Record Covers,Michael Ochs-Patrick Javault-Ulrike Wasel,3.84,9783822840856,575,274,Others
245,597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.83,9780743264464,245,25004,Biography & Autobiography
246,599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.74,9780743236010,272,59646,Literary Collections
247,604,Reefer Madness: Sex  Drugs  and Cheap Labor in the American Black Market,Eric Schlosser,3.77,9780965762649,310,125,Black market
248,619,Vice (V  #8),Jane Feather,3.51,9780553572490,419,462,Fiction
249,629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,9780060589462,540,157734,Psychology
250,639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley-Carol Heyer-Scott Goto,4.08,9780802789471,32,1730,Juvenile Fiction
